Date,Total Estimated Sun Hours
2024-05-01,0
2024-05-02,0.45
2024-05-03,0.0
2024-05-04,3.04
2024-05-05,2.93
2024-05-06,0.01
2024-05-07,0.04
2024-05-08,0.04
2024-05-09,0.77
2024-05-10,1.56
2024-05-11,4.42
2024-05-12,4.0
2024-05-13,0.12
2024-05-14,2.22
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,1.09
2024-05-18,3.2
2024-05-19,4.17
2024-05-20,4.13
2024-05-21,0.02
2024-05-22,1.77
2024-05-23,2.75
2024-05-24,3.26
2024-05-25,0.85
2024-05-26,3.31
2024-05-27,0.39
2024-05-28,0.01
2024-05-29,0.09
2024-05-30,0.39
2024-05-31,0.0
2024-06-01,0.01
2024-06-02,0.88
2024-06-03,0.32
2024-06-04,1.4
2024-06-05,4.23
2024-06-06,2.1
2024-06-07,2.58
2024-06-08,0.84
2024-06-09,0.21
2024-06-10,1.31
2024-06-11,0.11
2024-06-12,0.04
2024-06-13,0.19
2024-06-14,0.06
2024-06-15,0.0
2024-06-16,2.13
2024-06-17,2.78
2024-06-18,3.87
2024-06-19,1.71
2024-06-20,3.76
2024-06-21,0.0
2024-06-22,3.84
2024-06-23,0.0
2024-06-24,0.29
2024-06-25,2.28
2024-06-26,2.05
2024-06-27,2.09
2024-06-28,4.92
2024-06-29,3.53
2024-06-30,4.74
2024-07-01,0.0
2024-07-02,3.65
2024-07-03,0.58
2024-07-04,1.2
2024-07-05,0.82
2024-07-06,1.27
2024-07-07,1.45
2024-07-08,5.11
2024-07-09,6.0
2024-07-10,2.61
2024-07-11,5.07
2024-07-12,0.08
2024-07-13,2.57
2024-07-14,4.38
2024-07-15,5.64
2024-07-16,5.18
2024-07-17,2.85
2024-07-18,4.94
2024-07-19,5.83
2024-07-20,0.0
2024-07-21,6.0
2024-07-22,0.13
2024-07-23,2.72
2024-07-24,0.74
2024-07-25,5.87
2024-07-26,0.8
2024-07-27,2.92
2024-07-28,3.11
2024-07-29,4.14
2024-07-30,5.79
2024-07-31,4.7
2024-08-01,3.61
2024-08-02,2.18
2024-08-03,0.91
2024-08-04,1.32
2024-08-05,0.7
2024-08-06,3.98
2024-08-07,2.84
2024-08-08,3.72
2024-08-09,1.61
2024-08-10,4.23
2024-08-11,4.73
2024-08-12,2.92
2024-08-13,5.25
2024-08-14,1.61
2024-08-15,3.28
2024-08-16,3.44
2024-08-17,3.33
2024-08-18,1.34
2024-08-19,0.0
2024-08-20,1.11
2024-08-21,1.28
2024-08-22,0.0
2024-08-23,3.63
2024-08-24,4.95
2024-08-25,2.55
2024-08-26,0.11
2024-08-27,0.14
2024-08-28,3.54
2024-08-29,3.61
2024-08-30,2.37
2024-08-31,2.46
2024-09-01,2.35
2024-09-02,2.74
2024-09-03,4.91
2024-09-04,4.01
2024-09-05,0.26
2024-09-06,0.3
2024-09-07,2.46
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,5.09
2024-09-11,0.78
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,2.74
2024-09-17,0.95
2024-09-18,5.5
2024-09-19,1.03
2024-09-20,3.56
2024-09-21,1.67
2024-09-22,3.2
2024-09-23,3.05
